PRT_ID,AREA,INT_SQFT,SALE_YEAR,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILD_YEAR,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,INF_PRICE,NO. YEARS PASSED,1+0.04,Z*AA
P07789,Chrompet,1233,2008,02-08-2008,24,2,1,4,Ab Normal,No,11-08-1975,1975,House,NoSewer ,Gravel,RM,2.2,2,4.6,2.84,245429,107989,9817150,35816704.48,33,1.04,3.648381097
P02716,Karapakkam,627,2011,12-08-2011,49,1,1,2,Family,No,19-08-1983,1983,House,NoSewer ,Gravel,RM,4.3,2.8,2.5,3.13,223975,92225,6587500,19753958.12,28,1.04,2.998703319
P09780,Velachery,1563,2005,16-08-2005,43,2,1,4,Family,No,23-08-1977,1977,House,NoSewer ,Gravel,RM,4.7,4.5,2.6,3.98,303780,195987,9799360,29385373.36,28,1.04,2.998703319
P06989,T Nagar,1522,2009,30-03-2009,85,1,1,4,Partial,No,10-04-1966,1966,Commercial,AllPub,Gravel,RL,4.2,3.6,3.5,3.735,506181,174545,17454510,94262998.65,43,1.04,5.400495268
P06461,T Nagar,1687,2009,13-08-2009,73,1,1,4,Ab Normal,No,16-08-1996,1996,Others,NoSewer ,Paved,RH,4.6,4.6,2,3.43,411733,224582,12476770,20774739.18,13,1.04,1.665073507
P08050,Adyar,1025,2008,10-05-2008,125,1,1,3,Partial,No,17-05-1983,1983,Commercial,NoSewer ,Paved,I,2.5,2.5,2.7,2.6,349916,142153,10934875,29150587.06,25,1.04,2.665836331
P08147,KK Nagar,1546,2008,09-04-2008,129,2,1,4,Ab Normal,No,16-04-1981,1981,Commercial,AllPub,Gravel,RM,2.5,4.3,2.8,3.16,441475,142411,14241140,41062455.56,27,1.04,2.883368576
P00057,Chrompet,755,2015,09-01-2015,8,1,1,2,Normal Sale,No,17-01-1982,1982,Commercial,ELO,Gravel,RM,3.8,4.4,2.7,3.71,289649,42911,10727750,39138920.31,33,1.04,3.648381097
P01632,Adyar,735,2012,06-03-2012,67,1,1,2,Adj Land,No,10-03-1998,1998,Commercial,NoSewer ,No Access,RH,2.7,4,4,3.61,284361,132702,9478710,16414058.86,14,1.04,1.731676448
P00407,Chrompet,1293,2014,09-05-2014,34,2,1,4,Normal Sale,No,19-05-1975,1975,Commercial,ELO,No Access,RL,3.1,2.2,3.8,2.95,419714,157393,13116050,60548487.12,39,1.04,4.616365988
P06126,KK Nagar,1641,2009,17-10-2009,178,2,1,4,Partial,No,24-10-1980,1980,Others,AllPub,Gravel,RL,4.6,4.4,3.1,3.94,460580,190239,10012600,31225809.53,29,1.04,3.118651452
P02652,Karapakkam,1245,2011,26-08-2011,106,1,1,3,Partial,No,02-09-1983,1983,Others,NoSewer ,Paved,A,4.1,2.9,3.5,3.5,201653,113123,4918375,14748747.44,28,1.04,2.998703319
P06329,Chrompet,905,2009,12-09-2009,144,1,1,3,Family,No,20-09-1976,1976,Others,ELO,Gravel,RH,3.8,3.5,4,3.74,223393,77032,7703200,28104209.26,33,1.04,3.648381097
P01701,KK Nagar,1496,2012,24-02-2012,135,2,1,4,Family,No,27-02-1998,1998,House,NoSewer ,Gravel,RH,3.2,3.8,2.8,3.22,265641,137105,8569080,14838874.01,14,1.04,1.731676448
P04743,Velachery,1517,2010,05-07-2010,40,2,1,4,Family,No,08-07-1999,1999,Commercial,ELO,Paved,C,4,4.6,2.9,3.94,408507,116716,11671620,17967922.75,11,1.04,1.539454056
P00899,Chrompet,1092,2013,13-05-2013,89,1,1,3,Normal Sale,No,14-05-2009,2009,Others,AllPub,No Access,RH,2.4,2.4,2,2.28,246391,57491,8213040,9608095.148,4,1.04,1.16985856
P00566,Chrompet,821,2014,02-01-2014,34,1,1,3,Adj Land,No,04-01-2006,2006,House,NoSewer ,Paved,RH,3.4,4.6,2.9,3.73,182600,65736,7304000,9996028.344,8,1.04,1.36856905
P07878,KK Nagar,1694,2008,07-07-2008,72,2,1,4,Family,No,10-07-1997,1997,Others,NoSewer ,Gravel,RL,4,2,3.9,3.36,353291,114300,10390900,15996313.15,11,1.04,1.539454056
P05305,Anna Nagar,1809,2010,22-03-2010,177,2,1,5,Family,No,28-03-1984,1984,Commercial,AllPub,No Access,RL,3,3.5,2,2.725,518585,230482,19206870,53250466.73,26,1.04,2.772469785
P03571,Karapakkam,1470,2011,26-02-2011,99,2,2,4,Ab Normal,No,04-03-1986,1986,Others,NoSewer ,No Access,RH,3.1,3,3.1,3.07,302694,172968,7207000,19212682.44,25,1.04,2.665836331
P00942,Chrompet,798,2013,15-04-2013,166,1,1,2,Partial,No,24-04-1976,1976,Commercial,NoSewer ,Paved,RH,2.3,2.6,3.6,2.81,253975,145129,9070550,38713922.44,37,1.04,4.268089856
P08304,Chrompet,764,2008,21-02-2008,137,1,1,2,Partial,No,23-02-2000,2000,House,ELO,No Access,RH,3.3,3.2,2.1,2.9,158766,90723,5670200,7760060.23,8,1.04,1.36856905
P07597,Chrompet,1135,2008,25-09-2008,50,1,1,3,Ab Normal,No,01-10-1985,1985,Others,NoSewer ,No Access,RM,4.9,2.1,3.8,3.45,296102,148051,9253200,22806505.86,23,1.04,2.464715543
P06565,Karapakkam,939,2009,23-07-2009,74,1,1,3,Ab Normal,No,02-08-1971,1971,House,ELO,No Access,I,4.9,3.7,3.3,3.9,214700,38646,4294000,19060264.96,38,1.04,4.43881345
P04325,Chrompet,884,2010,22-09-2010,75,1,1,3,Normal Sale,No,23-09-2006,2006,Commercial,NoSewer ,No Access,RM,2.3,3.8,2.4,2.93,283410,45346,11336400,13261984.58,4,1.04,1.16985856
P05031,Anna Nagar,1640,2010,14-05-2010,113,1,1,4,Adj Land,No,15-05-2005,2005,Commercial,ELO,No Access,RH,2.5,3.1,3.5,3.05,495645,194718,17701600,21536703.02,5,1.04,1.216652902
P08918,Adyar,622,2007,20-06-2007,60,1,1,2,Normal Sale,No,25-06-1987,1987,Others,ELO,No Access,RL,2.7,4.9,3.5,3.54,216906,72302,6572900,14402033.31,20,1.04,2.191123143
P05350,KK Nagar,2413,2010,13-03-2010,166,4,2,6,Ab Normal,No,15-03-2001,2001,Others,NoSewer ,Paved,RM,2.5,2.4,2.9,2.63,419905,170587,13122040,18676754.54,9,1.04,1.423311812
P07092,T Nagar,1649,2009,28-02-2009,169,1,1,4,Adj Land,No,06-03-1984,1984,Commercial,AllPub,Gravel,RH,2.1,2,4.6,3.2,681808,113635,18939100,50488540.87,25,1.04,2.665836331
P00089,T Nagar,1942,2014,20-12-2014,10,2,1,5,Family,No,29-12-1977,1977,House,NoSewer ,Gravel,RH,4.6,3.1,2.9,,320599,61654,12330740,52628706.31,37,1.04,4.268089856
P00717,Chrompet,885,2013,19-09-2013,122,1,1,3,Family,No,27-09-1981,1981,House,ELO,No Access,RM,4.6,2.7,2.1,3.09,237422,107919,7194600,25239079.46,32,1.04,3.508058747
P08625,Adyar,1236,2007,17-10-2007,108,2,2,4,Family,No,26-10-1970,1970,Commercial,ELO,Gravel,A,3.7,3.5,4.4,4.01,481414,24071,12035355,51367976.59,37,1.04,4.268089856
P02917,Karapakkam,926,2011,29-06-2011,98,1,1,3,Family,No,04-07-1991,1991,House,ELO,Gravel,RL,4.3,4.8,2.9,3.89,288834,68770,6877000,15068353.85,20,1.04,2.191123143
P06881,KK Nagar,1686,2009,30-04-2009,57,2,1,4,Ab Normal,No,06-05-1985,1985,Others,NoSewer ,Paved,RM,3.2,2.7,3.9,3.33,382817,196582,10346400,26520970.21,24,1.04,2.563304165
P05823,Karapakkam,1344,2009,16-12-2009,129,2,2,4,Adj Land,No,29-12-1959,1959,Commercial,NoSewer ,Gravel,RH,4.6,4.2,3.3,3.96,453999,259428,10809500,76819693.63,50,1.04,7.106683346
P01492,KK Nagar,1437,2012,02-04-2012,104,2,1,4,Family,No,08-04-1989,1989,Others,AllPub,Gravel,RM,3.8,4.6,2.6,3.56,489629,102006,10200600,25141577.37,23,1.04,2.464715543
P07481,Adyar,1081,2008,26-10-2008,85,1,1,3,Family,No,03-11-1978,1978,House,AllPub,No Access,C,3.5,3.1,3.2,3.27,241416,6190,6190150,20077117.1,30,1.04,3.24339751
P06801,KK Nagar,1986,2009,19-05-2009,109,3,2,5,Normal Sale,No,27-05-1979,1979,House,AllPub,Gravel,RM,4.9,3.6,4.6,4.39,476717,227008,11350400,36813859.1,30,1.04,3.24339751
P04399,Karapakkam,607,2010,08-09-2010,121,1,1,2,Normal Sale,No,19-09-1964,1964,Others,NoSewer ,Gravel,RL,4.2,4.9,2.2,3.61,175699,117133,5856625,35577958.55,46,1.04,6.074822709
P05417,KK Nagar,1488,2010,28-02-2010,97,2,1,4,Partial,No,07-03-1983,1983,Others,AllPub,Paved,RH,2.3,5,4.1,3.83,405211,202606,8441900,24341109.18,27,1.04,2.883368576
P09702,Velachery,1645,2006,27-01-2006,96,2,1,4,Partial,No,03-02-1980,1980,House,NoSewer ,No Access,RH,3.7,4.5,2.1,3.58,250118,75793,7579320,21013435.69,26,1.04,2.772469785
P04112,Adyar,721,2010,04-11-2010,145,1,1,2,Partial,No,06-11-2000,2000,Others,NoSewer ,Paved,RL,3.4,2.8,4.6,3.88,273800,60844,7605550,11258071.92,10,1.04,1.480244285
P03305,KK Nagar,1593,2011,17-04-2011,9,2,1,4,Partial,No,21-04-1994,1994,Others,AllPub,Paved,RH,3.2,3.2,4.2,3.6,402606,223670,8946800,17427476.15,17,1.04,1.947900496
P02126,Chrompet,1195,2011,06-12-2011,93,1,1,3,Adj Land,No,10-12-1992,1992,Others,NoSewer ,Paved,RL,3,4.7,3.2,3.74,265183,29465,9821600,20692629.87,19,1.04,2.106849176
P06964,Velachery,1824,2009,03-04-2009,187,3,2,5,Normal Sale,No,11-04-1976,1976,House,NoSewer ,Paved,I,3.9,2.3,4.1,,273570,76942,8549060,31190228.9,33,1.04,3.648381097
P04311,Adyar,656,2010,24-09-2010,20,1,1,2,Ab Normal,No,26-09-2001,2001,Commercial,AllPub,Paved,I,4.5,2.3,2.3,2.96,280244,113849,8757635,12464845.34,9,1.04,1.423311812
P08974,Chrompet,727,2007,28-05-2007,84,1,1,2,Ab Normal,No,01-06-1991,1991,Others,ELO,Gravel,RM,3.1,4.3,2.5,3.4,218816,100992,8415990,15762991.43,16,1.04,1.872981246
P08903,Anna Nagar,1698,2007,27-06-2007,15,1,1,4,Family,No,07-07-1967,1967,House,NoSewer ,Gravel,RM,5,4.9,3.1,4.215,359949,198593,12412050,59590508.08,40,1.04,4.801020628
P08737,Anna Nagar,1506,2007,06-09-2007,122,1,1,4,Family,No,14-09-1974,1974,House,ELO,No Access,RM,3.9,3.4,2.1,3.055,417996,177648,10449910,38125254.11,33,1.04,3.648381097
P00163,Chrompet,1020,2014,01-11-2014,95,1,1,3,Family,No,07-11-1990,1990,House,NoSewer ,No Access,RM,4.2,2.4,4.1,3.45,206664,31794,7948600,20374679.49,24,1.04,2.563304165
P07499,Chrompet,889,2008,21-10-2008,196,1,1,3,Ab Normal,No,27-10-1987,1987,Others,ELO,Gravel,RM,5,2.4,2,3.06,300256,136480,9098680,20733781.45,21,1.04,2.278768069
P03550,T Nagar,1682,2011,04-03-2011,78,1,1,4,Ab Normal,No,12-03-1976,1976,Commercial,AllPub,Gravel,RH,3.7,3,3.5,3.435,690507,111974,18662350,73643293.94,35,1.04,3.946088994
P00920,Chrompet,869,2013,01-05-2013,39,1,1,3,Family,No,06-05-1995,1995,Others,NoSewer ,No Access,RM,4.3,4.8,3.3,4.2,220661,138935,8172630,16556248.83,18,1.04,2.025816515
P01500,Karapakkam,1445,2012,29-03-2012,20,2,2,4,Family,No,04-04-1988,1988,House,NoSewer ,No Access,I,4.9,2.9,2.5,3.34,216691,87848,5856500,15011990.84,24,1.04,2.563304165
P04417,Karapakkam,857,2010,05-09-2010,158,1,1,2,Normal Sale,No,09-09-1993,1993,House,ELO,Paved,I,3.6,2.4,3.4,3.16,236556,59139,4928250,9599740.617,17,1.04,1.947900496
P02863,KK Nagar,1778,2011,10-07-2011,94,3,2,5,Family,No,12-07-2003,2003,Others,NoSewer ,Gravel,RL,3.1,3.9,4.4,3.86,340948,153976,10998320,15051960.36,8,1.04,1.36856905
P03006,Karapakkam,851,2011,15-06-2011,124,1,1,2,Adj Land,No,25-06-1970,1970,Others,ELO,Paved,A,3.8,4.8,2.6,3.62,181073,39364,3936375,19654562.28,41,1.04,4.993061453
P04928,Karapakkam,613,2010,01-06-2010,81,1,1,2,Family,No,08-06-1980,1980,Commercial,NoSewer ,No Access,I,4.6,4.3,2.3,3.59,195491,66879,5144500,16685658.49,30,1.04,3.24339751
P08752,Adyar,738,2007,02-09-2007,69,1,1,2,Partial,No,06-09-1989,1989,Commercial,NoSewer ,No Access,I,2.4,4.7,5,,324194,8313,8312670,16839944.17,18,1.04,2.025816515
P03833,Karapakkam,1489,2011,03-01-2011,177,2,2,4,Adj Land,No,10-01-1982,1982,House,ELO,Gravel,RH,4.4,3.2,4,3.88,384348,200181,8007250,24971821.84,29,1.04,3.118651452
P02399,Chrompet,1252,2011,12-10-2011,190,2,1,4,Family,No,15-10-1999,1999,House,AllPub,No Access,RM,3.6,4.9,4.6,4.42,265502,47411,9482200,15181307.7,12,1.04,1.601032219
P03260,Karapakkam,1077,2011,24-04-2011,144,1,1,3,Ab Normal,No,02-05-1978,1978,Commercial,ELO,Paved,RM,3.3,4.9,4.2,4.14,305249,246169,9846750,35924696.56,33,1.04,3.648381097
P08138,KK Nagar,1524,2008,11-04-2008,73,2,1,4,Normal Sale,No,18-04-1981,1981,Others,NoSewer ,Paved,RH,3.6,2.7,2.8,3.01,303654,208220,8675820,25015586.76,27,1.04,2.883368576
P08181,Velachery,1780,2008,29-03-2008,194,2,1,4,Ab Normal,No,12-04-1953,1953,Others,AllPub,Gravel,C,4.7,2,2.9,2.95,329500,130066,8671050,74973079.88,55,1.04,8.64636692
P07510,Chrompet,946,2008,18-10-2008,14,1,1,3,Adj Land,No,23-10-1991,1991,Commercial,ELO,No Access,RL,3.8,3.1,4.5,3.73,368463,111656,11165550,21749380.38,17,1.04,1.947900496
P04010,KK Nagar,2344,2010,25-11-2010,71,4,2,6,Ab Normal,No,01-12-1986,1986,Commercial,NoSewer ,Gravel,RM,4.9,3.2,4.4,4.19,622046,471247,18849880,48317975.91,24,1.04,2.563304165
P06517,Anna Nagar,1843,2009,02-08-2009,158,2,1,5,Adj Land,No,06-08-1994,1994,House,ELO,No Access,RL,3.9,3.4,3.3,3.535,318884,147177,12264750,22088121.86,15,1.04,1.800943506
P03326,KK Nagar,1499,2011,13-04-2011,89,2,1,4,Family,No,14-04-2005,2005,House,AllPub,Gravel,RH,2.5,3,4.6,3.49,372805,186403,8876320,11231376.51,6,1.04,1.265319018
P05849,Velachery,1846,2009,11-12-2009,28,3,2,5,Ab Normal,No,21-12-1970,1970,House,AllPub,Gravel,RM,3.6,3.9,2,3.26,378554,129790,10815830,49929829.75,39,1.04,4.616365988
P03347,Karapakkam,662,2011,10-04-2011,148,1,1,2,Partial,No,19-04-1973,1973,Commercial,NoSewer ,No Access,C,4.7,3.3,2.5,3.4,143765,65348,4356500,19337690.8,38,1.04,4.43881345
P05714,Chrompet,1005,2010,06-01-2010,17,1,1,3,Family,No,13-01-1984,1984,Commercial,NoSewer ,Gravel,RL,2.2,2.8,4.9,3.25,355456,183857,12257100,33982439.4,26,1.04,2.772469785
P04299,Karapakkam,839,2010,27-09-2010,102,1,1,2,Partial,No,02-10-1990,1990,House,NoSewer ,Paved,C,4.6,4.6,2.3,3.68,192724,49206,4100500,8984700.448,20,1.04,2.191123143
P07890,Anna Nagar,1698,2008,02-07-2008,76,1,1,4,Partial,No,11-07-1974,1974,House,AllPub,No Access,RM,4.7,4.4,4.3,4.465,403460,80692,11527430,43738716.01,34,1.04,3.794316341
P06089,Karapakkam,1004,2009,25-10-2009,182,1,1,3,Adj Land,No,01-11-1981,1981,Others,ELO,No Access,C,4.9,3.3,3.1,3.7,193582,75544,4721500,14158377.72,28,1.04,2.998703319
P05826,Anna Nagar,1694,2009,16-12-2009,86,1,1,4,Normal Sale,No,23-12-1982,1982,Others,NoSewer ,Paved,RL,2.6,2.5,2.4,2.495,377250,213775,12575010,36258388.68,27,1.04,2.883368576
P05451,Karapakkam,588,2010,21-02-2010,163,1,1,2,Partial,No,27-02-1986,1986,Others,AllPub,Paved,RL,4.9,4.2,3.5,4.13,228220,57055,5705500,14624931.91,24,1.04,2.563304165
P08753,Velachery,1835,2007,01-09-2007,88,3,2,5,Normal Sale,No,08-09-1978,1978,Others,AllPub,Paved,RL,4.7,2.6,2.1,2.98,418181,182284,10722580,33439989.69,29,1.04,3.118651452
P09839,Velachery,1864,2005,16-03-2005,187,3,2,5,Partial,No,22-03-1982,1982,Commercial,ELO,Gravel,RH,3.2,4.6,2.8,3.71,528520,181207,15100560,37218584.94,23,1.04,2.464715543
P05279,Karapakkam,624,2010,25-03-2010,34,1,1,2,Family,No,02-04-1979,1979,Commercial,ELO,No Access,C,4.4,3.4,3,3.54,202228,92321,4396250,14829137.76,31,1.04,3.37313341
P08056,Chrompet,980,2008,08-05-2008,84,1,1,3,Normal Sale,No,13-05-1991,1991,Commercial,NoSewer ,Paved,RL,3,3.8,4.6,3.8,380824,130908,11900750,23181476.82,17,1.04,1.947900496
P05622,Karapakkam,808,2010,23-01-2010,119,1,1,2,Adj Land,No,01-02-1975,1975,House,NoSewer ,Gravel,C,3.1,2.4,3,2.85,161577,90293,4752250,18752801.42,35,1.04,3.946088994
P03766,Chrompet,1027,2011,14-01-2011,131,1,1,3,Normal Sale,No,19-01-1990,1990,House,ELO,Paved,RH,2.8,3.7,3.3,3.31,215799,44648,7441350,16957110.77,21,1.04,2.278768069
P05493,Karapakkam,696,2010,14-02-2010,84,1,1,2,Normal Sale,No,17-02-1999,1999,House,NoSewer ,Gravel,RL,3.5,2.1,3.6,3.12,212561,77295,6441250,9916008.44,11,1.04,1.539454056
P03329,Velachery,1878,2011,12-04-2011,18,3,2,5,Family,No,13-04-2005,2005,Commercial,AllPub,Paved,C,5,2.6,4.8,3.86,573149,257917,14328720,18130401.93,6,1.04,1.265319018
P01651,KK Nagar,1626,2012,03-03-2012,188,2,1,4,Ab Normal,No,09-03-1988,1988,House,AllPub,Paved,RM,2.9,3.6,2.7,3.03,348490,135524,9680280,24813502.04,24,1.04,2.563304165
P07585,KK Nagar,1730,2008,27-09-2008,200,2,1,4,Normal Sale,No,02-10-1990,1990,Commercial,NoSewer ,Gravel,RL,2.1,3.5,3.5,3.08,589574,235830,14739360,29859238.91,18,1.04,2.025816515
